Timestamp,Run,Cross Validation Step,Global Step,Local Step,Test Type,Task17_Keras Dense14_target: sparse_categorical_crossentropy
2023-11-19 11:36:17.001224,0,-1,500,500,Test Log,0.10031847133757962
2023-11-19 11:36:33.441493,0,-1,1000,1000,Test Log,0.10031847133757962
2023-11-19 11:36:50.150807,0,-1,1500,1500,Test Log,0.09982085987261147
2023-11-19 11:37:10.656852,0,-1,2000,2000,Test Log,0.09982085987261147
2023-11-19 11:37:31.372070,0,-1,2500,2500,Test Log,0.09982085987261147
2023-11-19 11:37:52.802225,0,-1,3000,3000,Test Log,0.09982085987261147
2023-11-19 11:38:09.479652,0,-1,3500,3500,Test Log,0.09982085987261147
2023-11-19 11:38:23.149860,0,-1,3910,3910,Test Log,0.09982085987261147
2023-11-19 11:39:02.751052,1,-1,500,500,Test Log,0.10031847133757962
2023-11-19 11:39:20.087896,1,-1,1000,1000,Test Log,0.10031847133757962
2023-11-19 11:39:37.217746,1,-1,1500,1500,Test Log,0.10031847133757962
2023-11-19 11:39:54.720724,1,-1,2000,2000,Test Log,0.10031847133757962
2023-11-19 11:40:12.811456,1,-1,2500,2500,Test Log,0.0999203821656051
2023-11-19 11:40:31.169860,1,-1,3000,3000,Test Log,0.0999203821656051
2023-11-19 11:40:50.706967,1,-1,3500,3500,Test Log,0.0999203821656051
2023-11-19 11:41:06.008218,1,-1,3910,3910,Test Log,0.0999203821656051
2023-11-19 11:42:09.324591,2,-1,500,500,Test Log,0.09982085987261147
2023-11-19 11:42:29.635058,2,-1,1000,1000,Test Log,0.09982085987261147
2023-11-19 11:42:46.061708,2,-1,1500,1500,Test Log,0.09982085987261147
2023-11-19 11:43:07.170636,2,-1,2000,2000,Test Log,0.09982085987261147
2023-11-19 11:43:27.776825,2,-1,2500,2500,Test Log,0.09982085987261147
2023-11-19 11:43:47.473136,2,-1,3000,3000,Test Log,0.09982085987261147
2023-11-19 11:44:03.879512,2,-1,3500,3500,Test Log,0.09982085987261147
2023-11-19 11:44:18.307782,2,-1,3910,3910,Test Log,0.09982085987261147
